"","timestamp","bearing","speed","network_provider","gps_provider","suburb","city","region","moving","userid","fclass0","code0","name0","fclass1","code1","name1","fclass2","code2","name2","fclass3","code3","name3","fclass4","code4","name4","fclass5","code5","name5","fclass6","code6","name6","fclass7","code7","name7","fclass8","code8","name8","fclass9","code9","name9","fclass10","code10","name10","fclass11","code11","name11","fclass12","code12","name12","fclass13","code13","name13","fclass14","code14","name14","fclass15","code15","name15","fclass16","code16","name16","fclass17","code17","name17","fclass18","code18","name18","fclass19","code19","name19"
"23","-05-17 09:37:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","-05-15 15:17:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","True",61,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","-05-23 07:09:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","-05-08 02:21:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","-05-07 18:03:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","-05-12 07:02:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","-05-14 02:51:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","museum",2722,"Antica fusina Zanghellini","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","-05-14 13:53:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","-05-18 08:43:00",-1,-1,"True","False","Belvedere","Levico Terme","Trentino-Alto Adige/Südtirol","True",61,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","-05-11 08:48:00",-1,-1,"True","False","Valli","Borgo Valsugana","Trentino-Alto Adige/Südtirol","True",61,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","-05-23 00:36:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","-05-11 06:25:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","-05-07 18:33:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
